year,brand,km_driven,mileage,engine,max_power,torque,seats,fuel_type,transmission,owner_count,price
2001,Tata,167964,29.57,2924,76.6,305.2,7,Diesel,Manual,1,137811
2014,Volkswagen,54848,28.87,1062,149.2,172.4,4,Diesel,Manual,2,135267
2023,Ford,151240,12.64,2424,61.0,363.4,7,Petrol,Manual,1,62356
2009,Kia,154025,14.06,2927,158.5,92.8,6,CNG,Manual,2,185075
2005,Volkswagen,169106,16.95,2164,142.4,194.9,4,Electric,Automatic,1,158028
2002,Kia,147214,29.79,1852,122.9,248.8,4,Electric,Manual,3,190745
2023,Ford,55313,24.11,963,118.8,290.0,6,Petrol,Manual,1,163476
2015,Maruti,173747,28.29,829,141.4,244.1,4,Petrol,Automatic,1,189021
2001,Honda,53202,15.52,2573,123.8,351.3,5,Diesel,Automatic,2,172811
2020,Mahindra,79753,27.4,2036,45.7,76.5,7,Petrol,Manual,1,94172
2013,Volkswagen,36720,12.21,961,136.6,103.7,4,CNG,Manual,3,190325
2017,Tata,158050,29.91,980,65.7,195.1,6,CNG,Automatic,3,70088
2005,Tata,191173,12.13,1851,177.4,181.7,6,Diesel,Automatic,3,236925
2005,Mahindra,25060,18.73,2078,41.3,215.6,4,CNG,Manual,2,81227
2018,Tata,90995,26.4,1719,52.1,159.4,4,Diesel,Automatic,3,91566
2015,Kia,134897,27.02,2669,151.6,359.2,5,Petrol,Automatic,2,162867
1998,Maruti,132287,27.26,2575,183.5,301.2,7,Diesel,Automatic,3,229964
2002,Maruti,12937,15.73,1587,185.5,123.2,4,Electric,Manual,1,175334
2018,Kia,1587,23.21,2353,134.8,143.2,4,Electric,Automatic,1,214311
1997,Renault,134657,14.2,2896,167.7,286.8,7,Petrol,Manual,1,235704
2016,Kia,199623,19.88,2480,109.1,288.3,7,Petrol,Manual,3,127083
2015,Ford,112138,26.96,1315,126.7,175.7,5,Electric,Manual,3,177686
1996,Volkswagen,101428,18.2,1462,183.9,249.3,6,Electric,Manual,2,182020
2018,Tata,194234,12.2,2539,124.0,61.3,7,Petrol,Automatic,2,140610
2006,Kia,99231,10.48,2241,161.5,201.6,6,CNG,Manual,2,193315
2000,Hyundai,119732,28.0,834,114.7,312.4,4,CNG,Manual,2,155816
1996,Toyota,151485,12.47,1533,111.5,298.5,4,CNG,Automatic,1,151865
2022,Hyundai,71703,27.52,1014,88.4,279.1,7,Electric,Manual,1,136765
2015,Tata,102398,11.88,1262,140.6,123.2,4,Electric,Manual,2,127177
1995,Maruti,3112,14.83,1803,180.1,162.2,7,Petrol,Manual,3,216562
2006,Ford,64980,24.57,2494,83.3,152.8,4,Diesel,Automatic,3,78157
2020,Ford,159438,13.49,1338,87.4,399.2,7,Petrol,Automatic,2,110363
2016,Ford,176604,27.67,883,40.4,145.3,4,Petrol,Manual,2,72552
2023,Toyota,90460,14.5,1286,84.1,257.3,5,Electric,Manual,3,128852
2006,Renault,103113,17.36,1215,191.0,272.4,7,Electric,Automatic,2,260071
2019,Mahindra,105588,27.34,2047,167.0,190.1,6,Diesel,Automatic,3,233694
2011,Hyundai,37587,16.86,2700,166.9,332.3,6,Diesel,Automatic,2,185359
2021,Mahindra,90854,21.77,1845,176.5,362.4,5,Electric,Manual,3,212860
2021,Volkswagen,120912,16.48,2688,186.0,87.8,6,Petrol,Manual,3,272148
2004,Kia,76401,19.57,1156,86.4,359.2,4,Diesel,Manual,1,131276
2022,Volkswagen,198972,19.41,1392,124.8,186.4,5,Electric,Automatic,1,117307
2022,Maruti,55794,19.51,2307,86.5,75.9,6,CNG,Manual,2,65297
2010,Hyundai,47295,17.34,1490,129.4,176.2,5,Electric,Automatic,2,165889
2009,Volkswagen,42995,24.45,898,104.4,327.4,5,Diesel,Automatic,3,169373
2009,Renault,196590,16.86,1386,194.4,311.9,5,Electric,Automatic,1,265504
2013,Mahindra,137873,12.73,1923,175.8,178.6,4,Diesel,Automatic,2,212745
2006,Kia,20295,21.95,2280,176.8,157.9,7,Electric,Manual,1,233755
2017,Tata,123761,15.56,847,44.2,125.0,7,Electric,Automatic,1,88355
2014,Renault,198436,10.78,1206,189.0,293.3,6,Diesel,Manual,3,177991
2019,Maruti,111143,10.9,2394,190.8,333.6,6,Diesel,Manual,3,198100
1997,Kia,109827,19.76,1618,178.4,131.3,5,Petrol,Manual,2,194890
1999,Kia,167297,29.36,2760,170.0,331.7,7,Petrol,Automatic,1,177025
2013,Honda,175940,11.56,1614,55.0,219.6,4,CNG,Automatic,3,73718
2001,Maruti,190274,16.63,901,125.8,82.8,4,CNG,Automatic,3,170279
2015,Renault,36507,10.79,2264,152.7,107.2,7,Electric,Manual,3,151605
2003,Renault,48561,22.63,2665,94.1,221.8,4,Diesel,Automatic,2,86460
2001,Kia,83819,21.57,2952,56.8,185.5,5,Diesel,Automatic,3,58788
2012,Tata,130129,15.67,1979,49.9,235.3,7,CNG,Manual,3,45947
1998,Kia,39037,25.2,1613,85.7,399.8,7,CNG,Manual,2,126557
2019,Volkswagen,158961,10.58,2280,59.1,165.9,7,CNG,Manual,1,107275
2022,Kia,73579,12.51,2702,190.3,157.7,6,Petrol,Automatic,2,199575
2008,Toyota,91758,11.16,1650,175.9,234.9,7,Diesel,Manual,1,238724
2012,Mahindra,56486,16.76,1615,131.3,237.8,4,Petrol,Automatic,1,134064
2020,Tata,22745,20.11,2001,46.0,327.6,6,Electric,Automatic,1,84707
2003,Tata,119358,15.8,2193,88.1,234.1,6,Petrol,Automatic,3,56628
2020,Volkswagen,67754,16.3,1997,51.1,203.0,6,Electric,Manual,2,89636
2015,Hyundai,173119,21.48,1876,73.4,197.9,7,CNG,Automatic,1,41702
1996,Toyota,20822,14.82,2618,152.7,245.4,6,Electric,Manual,2,177576
2014,Kia,181584,15.55,1682,168.7,122.2,7,CNG,Manual,3,218983
2022,Ford,181339,28.03,1292,124.5,379.7,5,CNG,Automatic,2,104658
2009,Kia,130867,24.55,1851,79.1,263.6,5,Electric,Manual,2,143053
